time,herecium,control,lentinus,pleurotus
0.0,22.842238,2924.920991,7.2e-05,-3767.743125
0.1,21.619102,2914.229408,6.8e-05,-3768.072114
0.2,20.395964,2903.537825,6.9e-05,-3768.419847
0.30000000000000004,18.412247,2919.686958,7e-05,-3768.767579
0.4,16.42853,2935.836092,7.1e-05,-3769.167233
0.5,11.992331,2925.395966,6.8e-05,-3769.618925
0.6000000000000001,7.556131,2914.95584,6.5e-05,-3770.212643
0.7000000000000001,3.119931,2904.515713,6.7e-05,-3770.948388
0.8,3.059395,2917.815,7e-05,-3771.243268
0.9,2.998859,2931.114286,6.8e-05,-3771.097399
1.0,2.70394,2924.532862,6.7e-05,-3770.951531
1.1,2.409021,2917.951671,6.5e-05,-3771.193675
1.2000000000000002,2.114102,2911.370248,6.6e-05,-3771.823831
1.3,3.776513,2916.94887,6.6e-05,-3772.453987
1.4000000000000001,5.438924,2922.527492,6.7e-05,-3773.078788
1.5,5.234033,2922.046231,6.4e-05,-3773.698118
1.6,5.029142,2921.565203,6.2e-05,-3774.436191
1.7000000000000002,4.824251,2921.083942,6.2e-05,-3775.293007
1.8,5.662441,2916.860394,6.1e-05,-3775.622114
1.9000000000000001,6.500632,2912.636846,6.1e-05,-3775.423393
2.0,7.040799,2918.016864,6.1e-05,-3775.224672
2.1,7.580966,2923.396649,6.2e-05,-3775.211517
2.2,8.121133,2928.776667,6.1e-05,-3775.383811
2.3000000000000003,9.415671,2916.743979,6e-05,-3775.237128
2.4000000000000004,10.71021,2904.711291,6e-05,-3774.771467
2.5,11.216228,2914.443612,6e-05,-3774.305806
2.6,11.722247,2924.175933,6.1e-05,-3773.581702
2.7,12.228265,2933.908254,5.9e-05,-3772.599157
2.8000000000000003,11.934899,2917.568199,5.7e-05,-3771.417192
2.9000000000000004,11.641532,2901.228145,5.8e-05,-3770.035692
3.0,12.253101,2912.34511,5.9e-05,-3768.654191
3.1,12.864669,2923.461841,6e-05,-3766.517621
3.2,13.476238,2934.578806,5.8e-05,-3763.625864
3.3000000000000003,13.629906,2919.486724,5.6e-05,-3761.380562
3.4000000000000004,13.783574,2904.394642,5.4e-05,-3759.78183
3.5,14.494483,2912.102966,5.6e-05,-3758.183098
3.6,15.205394,2919.811057,5.7e-05,-3756.086808
3.7,15.916303,2927.519381,5.4e-05,-3753.493074
3.8000000000000003,16.507693,2920.227125,5.2e-05,-3751.494572
3.9000000000000004,17.099082,2912.93487,5.4e-05,-3750.091419
4.0,18.126642,2914.713696,5.2e-05,-3748.688265
4.1000000000000005,19.1542,2916.492522,4.9e-05,-3746.780567
4.2,20.18176,2918.271348,5e-05,-3744.368441
4.300000000000001,20.191073,2920.604311,5.1e-05,-3742.536879
4.4,20.200387,2922.937274,5.2e-05,-3741.285764
4.5,21.783635,2915.80637,5.2e-05,-3740.034648
4.6000000000000005,21.299347,2922.915621,5.3e-05,-3738.289233
4.7,20.81506,2930.024639,5.2e-05,-3736.049403
4.800000000000001,21.709129,2916.310914,5.2e-05,-3734.469996
4.9,22.603199,2902.597189,5.3e-05,-3733.55113
5.0,22.96952,2912.987722,5.3e-05,-3732.632264
5.1000000000000005,23.335839,2923.378022,5.4e-05,-3731.383476
5.2,23.70216,2933.768556,5.3e-05,-3729.804885
5.300000000000001,24.694018,2917.139791,5.1e-05,-3728.712909
5.4,25.685877,2900.511026,4.9e-05,-3728.107549
5.5,25.288513,2910.709009,5e-05,-3727.50219
5.6000000000000005,24.891147,2920.906991,5.1e-05,-3726.71755
5.7,24.493784,2931.104973,4.7e-05,-3725.753631
5.800000000000001,23.720786,2918.033861,4.2e-05,-3724.88203
5.9,22.947788,2904.962748,4.3e-05,-3724.102862
6.0,23.770457,2911.457093,4.3e-05,-3723.323694
6.1000000000000005,24.593124,2917.951671,4.4e-05,-3721.878515
6.2,25.415793,2924.446017,4.1e-05,-3720.633686
6.300000000000001,25.648624,2919.253893,3.8e-05,-3720.254987
6.4,25.881454,2914.06177,3.5e-05,-3719.700035
6.5,25.837993,2914.232435,3.5e-05,-3718.968946
6.6000000000000005,25.79453,2914.403332,3.6e-05,-3717.993386
6.7,25.751069,2914.573997,3.2e-05,-3716.773354
6.800000000000001,24.433248,2918.783575,2.9e-05,-3715.93982
6.9,23.115426,2922.993153,2.8e-05,-3715.492785
7.0,23.596609,2917.035716,2.7e-05,-3715.04575
7.1000000000000005,24.077794,2911.078511,2.6e-05,-3714.51024
7.2,24.558976,2905.121073,2.5e-05,-3713.886254
7.300000000000001,24.880283,2917.898819,2.4e-05,-3713.262267
7.4,25.201589,2930.676565,2.2e-05,-3712.663893
7.500000000000001,25.462359,2920.313971,2e-05,-3712.091129
7.6000000000000005,25.72313,2909.95161,1.8e-05,-3711.199388
7.7,25.9839,2899.589017,1.7e-05,-3709.988669
7.800000000000001,25.65328,2916.129306,1.6e-05,-3709.077486
7.9,25.322661,2932.669595,1.4e-05,-3708.465956
8.0,25.170544,2921.679989,1.1e-05,-3707.854426
8.1,25.018429,2910.690382,9e-06,-3706.882708
8.200000000000001,24.866313,2899.700776,8e-06,-3705.550916
8.3,24.372712,2914.834768,8e-06,-3704.64439
8.4,23.879111,2929.968759,8e-06,-3704.163246
8.5,23.394823,2922.012238,4e-06,-3703.682101
8.600000000000001,22.910535,2914.055483,0.0,-3702.950198
8.700000000000001,22.426248,2906.098962,0.0,-3701.967653
8.8,23.99087,2913.44244,1e-06,-3701.091395
8.9,25.555491,2920.785919,-2e-06,-3700.32154
9.0,26.890388,2918.777289,-5e-06,-3699.551686
9.100000000000001,28.225282,2916.768892,-8e-06,-3698.839224
9.200000000000001,29.560179,2914.760262,-7e-06,-3698.184155
9.3,30.742958,2913.093194,-7e-06,-3697.529086
9.4,31.925738,2911.426127,-6e-06,-3696.673084
9.5,31.596672,2915.719524,-9e-06,-3695.616033
9.600000000000001,31.267602,2920.012921,-1.2e-05,-3694.542684
9.700000000000001,30.938536,2924.306318,-1.1e-05,-3693.453036
9.8,30.216761,2913.339995,-1e-05,-3692.523227
9.9,29.494986,2902.373672,-1.2e-05,-3691.753373
10.0,29.035533,2911.873162,-1.4e-05,-3690.983518
10.100000000000001,28.576082,2921.372652,-1.5e-05,-3690.023441
10.200000000000001,28.116629,2930.872142,-1.6e-05,-3688.873257
10.3,26.426278,2915.035002,-1.6e-05,-3687.776625
10.4,24.735928,2899.197862,-1.6e-05,-3686.733544
10.5,23.450702,2931.710333,-1.6e-05,-3685.690463
10.600000000000001,22.877939,2916.147932,-1.5e-05,-3684.563562
10.700000000000001,22.305176,2900.585532,-1.7e-05,-3683.352843
10.8,22.035092,2913.922071,-1.9e-05,-3682.230599
10.9,21.765009,2927.258611,-1.6e-05,-3681.196831
11.0,21.324182,2920.515835,-1.8e-05,-3680.163063
11.100000000000001,20.883357,2913.77306,-1.9e-05,-3679.033834
11.200000000000001,20.442531,2907.030284,-1.7e-05,-3677.809145
11.3,20.78712,2913.20961,-1.6e-05,-3676.718683
11.4,21.131709,2919.388935,-1.4e-05,-3675.762564
11.5,21.026159,2918.09137,-1.7e-05,-3674.806445
11.600000000000001,20.92061,2916.793572,-1.9e-05,-3673.855681
11.700000000000001,20.81506,2915.496007,-1.8e-05,-3672.910389
11.8,20.838343,2912.422642,-1.6e-05,-3671.945655
11.9,20.861626,2909.349278,-1.7e-05,-3670.961596
12.0,20.262474,2914.586337,-1.8e-05,-3669.977537
12.100000000000001,19.663325,2919.82363,-1.9e-05,-3668.122576
12.200000000000001,19.064173,2925.060689,-1.7e-05,-3666.407429
12.3,19.781291,2913.097851,-1.5e-05,-3665.702767
12.4,20.49841,2901.135013,-1.4e-05,-3664.789256
12.5,21.113083,2910.802141,-1.3e-05,-3663.667012
12.600000000000001,21.727756,2920.469269,-1.2e-05,-3662.637901
12.700000000000001,22.342429,2930.136397,-8e-06,-3661.701921
12.8,23.012981,2914.224751,-4e-06,-3661.09109
12.9,23.683533,2898.313105,0.0,-3660.805523
13.0,24.400651,2909.277799,2e-06,-3660.519957
13.100000000000001,25.11777,2920.242725,6e-06,-3660.23276
13.200000000000001,25.834888,2931.207418,8e-06,-3659.94405
13.3,26.053749,2915.700898,1.1e-05,-3659.720533
13.4,26.27261,2900.194377,1.4e-05,-3659.562208
13.5,26.095659,2908.989089,2.1e-05,-3659.403883
13.600000000000001,25.918707,2917.784033,2.8e-05,-3659.35266
13.700000000000001,25.741756,2926.578745,2.9e-05,-3659.40854
13.8,25.550835,2917.1817,3e-05,-3659.304581
13.9,25.359914,2907.784656,3.2e-05,-3659.040667
14.0,25.53376,2911.196323,3.5e-05,-3658.776754
14.100000000000001,25.707608,2914.608223,3.8e-05,-3658.674308
14.200000000000001,25.881454,2918.019891,3.7e-05,-3658.733331
14.3,25.993213,2917.582169,3.5e-05,-3658.792353
14.4,26.104972,2917.144448,3.4e-05,-3658.619244
14.500000000000002,26.527172,2914.359793,3.4e-05,-3658.214118
14.600000000000001,26.94937,2911.575139,3.5e-05,-3658.023197
14.700000000000001,27.37157,2908.790484,3e-05,-3658.04648
14.8,27.408823,2916.972153,2.6e-05,-3657.960333
14.9,27.446076,2925.153822,2.5e-05,-3657.764755
15.000000000000002,29.206276,2917.020349,2.4e-05,-3657.569177
15.100000000000001,30.966476,2908.886643,2.2e-05,-3657.39374
15.200000000000001,32.726675,2900.75317,1.9e-05,-3657.238558
15.3,31.953678,2915.79403,1.6e-05,-3657.083376
15.4,31.18068,2930.834889,1.3e-05,-3656.612244
15.500000000000002,30.87024,2919.981955,1e-05,-3655.825276
15.600000000000001,30.559797,2909.128787,7e-06,-3655.126784
15.700000000000001,30.249357,2898.275852,3e-06,-3654.516768
15.8,30.375086,2914.485522,-1e-06,-3653.977416
15.9,30.500814,2930.695191,-4e-06,-3653.508611
16.0,29.951334,2920.785919,-7e-06,-3653.039807
16.1,29.401854,2910.876647,-9e-06,-3652.356099
16.2,28.852373,2900.967374,-1.1e-05,-3651.457373
16.3,28.992072,2912.636846,-1.2e-05,-3650.660277
16.400000000000002,29.13177,2924.306318,-1.4e-05,-3649.964929
16.5,28.694049,2919.724211,-1.8e-05,-3649.26958
16.6,28.256327,2915.142104,-2.2e-05,-3648.241982
16.7,27.818605,2910.559997,-2.2e-05,-3646.882251
16.8,28.046779,2912.85105,-2.3e-05,-3645.787947
16.900000000000002,28.274953,2915.142104,-3.1e-05,-3644.95907
17.0,28.206656,2916.734666,-3e-05,-3644.130193
17.1,28.13836,2918.327227,-2.8e-05,-3643.110394
17.200000000000003,28.070062,2919.919789,-3.1e-05,-3641.899675
17.3,28.102659,2912.874334,-3.3e-05,-3640.688956
17.400000000000002,28.135255,2905.828878,-3.5e-05,-3639.396746
17.5,27.085965,2917.784033,-3.5e-05,-3638.023045
17.6,27.331213,2908.365102,-3.4e-05,-3636.216279
17.700000000000003,27.576461,2898.946404,-3.6e-05,-3633.976448
17.8,26.538037,2915.100195,-3.8e-05,-3632.325679
17.900000000000002,25.499612,2931.253985,-3.7e-05,-3631.263971
